hours_studied,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index,total_study_hours_proxy,g_avg
4,56,0,4,7,36.0,6.8,56
7,79,0,4,1,71.0,7.700000000000001,79
9,52,0,9,0,49.0,9.0,52
7,91,1,6,3,82.0,9.1,91
1,97,1,8,0,71.0,1.0,97
1,71,0,9,1,43.0,1.1,71
9,76,0,8,2,77.0,10.799999999999999,76
9,89,1,5,3,86.0,11.700000000000001,89
4,54,0,7,5,34.0,6.0,54
9,51,0,6,7,49.0,15.299999999999999,51
3,88,0,5,8,69.0,5.4,88
7,96,0,5,3,84.0,9.1,96
6,54,0,8,0,41.0,6.0,54
8,73,1,6,4,68.0,11.2,73
9,45,1,8,4,44.0,12.6,45
5,56,0,7,8,41.0,9.0,56
1,87,0,8,5,58.0,1.5,87
3,88,1,4,4,68.0,4.199999999999999,88
8,96,0,8,9,94.0,15.2,96
6,59,1,4,9,47.0,11.399999999999999,59
8,48,0,5,4,40.0,11.2,48
9,98,1,7,7,100.0,15.299999999999999,98
4,44,1,9,0,23.0,4.0,44
1,62,0,4,4,36.0,1.4,62
1,72,0,7,0,47.0,1.0,72
4,77,1,8,6,60.0,6.4,77
7,95,0,9,6,83.0,11.200000000000001,95
2,53,1,8,9,33.0,3.8,53
3,56,0,5,7,36.0,5.1,56
1,96,0,8,6,74.0,1.6,96
5,58,0,4,8,42.0,9.0,58
1,72,1,5,7,47.0,1.7,72
8,40,1,7,7,31.0,13.6,40
1,52,0,5,2,26.0,1.2,52
1,85,1,7,9,58.0,1.9,85
2,66,0,6,3,42.0,2.6,66
2,45,1,4,3,18.0,2.6,45
6,98,0,4,0,85.0,6.0,98
7,45,1,7,5,36.0,10.5,45
5,72,1,8,1,58.0,5.5,72
1,69,1,9,8,45.0,1.8,69
1,85,1,8,0,60.0,1.0,85
3,74,1,6,0,56.0,3.0,74
2,62,1,7,9,42.0,3.8,62
5,49,0,6,5,33.0,7.5,49
6,90,0,7,0,77.0,6.0,90
7,58,1,6,2,51.0,8.4,58
4,90,0,7,9,72.0,7.6,90
7,67,1,4,1,57.0,7.700000000000001,67
8,62,0,6,8,53.0,14.4,62
1,43,0,6,4,16.0,1.4,43
6,59,0,7,5,45.0,9.0,59
8,58,0,5,1,49.0,8.8,58
5,81,1,5,7,67.0,8.5,81
4,66,0,4,5,49.0,6.0,66
2,96,0,8,7,73.0,3.4,96
6,73,0,8,7,65.0,10.2,73
6,43,1,4,0,27.0,6.0,43
1,95,0,8,6,72.0,1.6,95
9,77,1,9,1,74.0,9.9,77
6,46,1,9,7,38.0,10.2,46
3,87,0,9,1,67.0,3.3000000000000003,87
4,46,1,9,3,28.0,5.2,46
4,89,0,7,1,73.0,4.4,89
3,91,0,5,6,72.0,4.800000000000001,91
3,65,0,4,4,42.0,4.199999999999999,65
3,65,0,7,8,47.0,5.4,65
4,93,0,9,4,77.0,5.6,93
7,58,0,4,7,49.0,11.9,58
4,48,0,5,1,30.0,4.4,48
9,59,1,8,2,54.0,10.799999999999999,59
1,81,1,7,5,56.0,1.5,81
8,84,0,5,6,75.0,12.8,84
7,89,0,4,9,78.0,13.299999999999999,89
2,55,1,6,7,32.0,3.4,55
8,93,0,7,2,89.0,9.6,93
1,56,1,4,6,29.0,1.6,56
9,61,1,4,7,57.0,15.299999999999999,61
9,52,0,5,9,48.0,17.099999999999998,52
2,51,0,4,5,27.0,3.0,51
7,49,1,7,3,38.0,9.1,49
3,40,1,9,5,18.0,4.5,40
7,71,0,7,8,66.0,12.6,71
9,69,0,4,2,65.0,10.799999999999999,69
4,47,1,5,1,27.0,4.4,47
1,60,1,7,4,33.0,1.4,60
2,61,1,6,6,37.0,3.2,61
1,57,0,9,2,29.0,1.2,57
5,41,0,8,4,26.0,7.0,41
5,87,0,5,3,72.0,6.5,87
7,83,1,5,6,77.0,11.200000000000001,83
9,48,1,8,1,45.0,9.9,48
9,42,0,8,6,41.0,14.4,42
3,93,1,7,1,73.0,3.3000000000000003,93
3,65,1,4,2,43.0,3.5999999999999996,65
3,60,1,4,4,39.0,4.199999999999999,60
4,69,1,6,6,54.0,6.4,69
8,67,1,9,5,62.0,12.0,67
6,75,0,4,6,63.0,9.600000000000001,75
8,65,0,6,5,59.0,12.0,65
1,73,0,6,0,46.0,1.0,73
8,47,0,5,4,42.0,11.2,47
4,49,0,5,0,30.0,4.0,49
1,87,1,9,6,63.0,1.6,87
8,94,1,7,3,89.0,10.4,94
4,82,1,8,4,62.0,5.6,82
6,89,0,8,0,77.0,6.0,89
8,93,1,9,7,88.0,13.6,93
4,53,1,6,3,35.0,5.2,53
3,79,1,9,2,60.0,3.5999999999999996,79
9,94,0,8,0,92.0,9.0,94
3,54,1,6,3,38.0,3.9000000000000004,54
9,56,1,8,2,56.0,10.799999999999999,56
2,92,0,7,7,70.0,3.4,92
2,57,0,5,8,35.0,3.6,57
2,71,1,5,4,47.0,2.8,71
6,77,0,6,8,66.0,10.8,77
3,62,1,9,0,43.0,3.0,62
9,85,0,8,6,81.0,14.4,85
4,62,1,4,6,43.0,6.4,62
1,74,1,7,5,46.0,1.5,74
4,78,0,8,3,61.0,5.2,78
1,54,0,4,8,27.0,1.8,54
5,92,0,7,2,77.0,6.0,92
4,63,0,7,0,43.0,4.0,63
8,67,1,5,1,60.0,8.8,67
8,55,0,6,2,48.0,9.6,55
7,55,1,8,1,47.0,7.700000000000001,55
3,79,1,7,5,60.0,4.5,79
1,78,1,8,6,53.0,1.6,78
1,45,0,7,4,19.0,1.4,45
3,41,1,9,4,23.0,4.199999999999999,41
6,93,1,5,6,81.0,9.600000000000001,93
7,52,0,6,5,41.0,10.5,52
6,83,1,4,7,71.0,10.2,83
6,86,1,4,8,75.0,10.8,86
6,98,1,9,1,89.0,6.6000000000000005,98
3,48,0,5,1,28.0,3.3000000000000003,48
6,73,1,7,0,60.0,6.0,73
8,56,1,5,6,54.0,12.8,56
2,66,1,6,3,41.0,2.6,66
5,68,0,4,8,52.0,9.0,68
1,76,0,8,5,53.0,1.5,76
1,82,0,4,6,52.0,1.6,82
5,61,1,6,6,47.0,8.0,61
3,90,1,7,7,71.0,5.1,90
4,63,1,5,3,42.0,5.2,63
3,46,1,4,2,21.0,3.5999999999999996,46
1,73,1,4,2,48.0,1.2,73
1,87,0,8,9,64.0,1.9,87
5,51,1,5,7,38.0,8.5,51
6,62,1,8,2,49.0,7.199999999999999,62
3,54,0,8,7,35.0,5.1,54
9,72,0,7,1,73.0,9.9,72
5,96,1,4,4,81.0,7.0,96
8,52,0,9,4,47.0,11.2,52
1,62,0,5,6,36.0,1.6,62
5,77,0,7,4,63.0,7.0,77
3,71,1,9,8,52.0,5.4,71
1,84,0,7,2,58.0,1.2,84
4,89,1,7,8,77.0,7.2,89
5,74,0,6,0,58.0,5.0,74
7,40,1,6,2,33.0,8.4,40
1,86,1,7,3,67.0,1.3,86
3,97,1,6,5,76.0,4.5,97
2,84,0,5,9,62.0,3.8,84
9,44,0,4,7,37.0,15.299999999999999,44
6,96,0,9,6,86.0,9.600000000000001,96
3,52,1,5,7,37.0,5.1,52
8,93,0,4,5,88.0,12.0,93
8,44,0,6,5,38.0,12.0,44
2,99,1,9,5,76.0,3.0,99
6,71,0,5,2,57.0,7.199999999999999,71
7,90,1,8,9,82.0,13.299999999999999,90
2,60,0,7,3,35.0,2.6,60
2,63,1,4,5,41.0,3.0,63
1,99,1,4,6,75.0,1.6,99
8,57,0,8,2,51.0,9.6,57
1,60,1,8,3,34.0,1.3,60
9,93,0,7,5,92.0,13.5,93
6,49,0,6,0,39.0,6.0,49
7,63,0,5,6,56.0,11.200000000000001,63
7,79,0,5,0,69.0,7.0,79
3,86,1,5,9,69.0,5.699999999999999,86
2,60,1,6,8,40.0,3.6,60
9,64,1,7,9,63.0,17.099999999999998,64
8,91,0,5,8,86.0,14.4,91
7,99,0,4,8,89.0,12.6,99
9,96,1,4,3,94.0,11.700000000000001,96
4,98,1,4,1,79.0,4.4,98
4,62,0,8,6,44.0,6.4,62
1,61,0,8,3,33.0,1.3,61
8,43,0,6,4,36.0,11.2,43
3,73,1,5,0,50.0,3.0,73
7,95,0,8,9,94.0,13.299999999999999,95
2,45,1,4,5,22.0,3.0,45
2,67,0,8,6,44.0,3.2,67
7,70,1,4,2,60.0,8.4,70
6,74,0,5,9,64.0,11.399999999999999,74
3,78,1,6,1,58.0,3.3000000000000003,78
9,81,1,7,9,78.0,17.099999999999998,81
6,62,1,7,6,51.0,9.600000000000001,62
6,45,0,4,0,30.0,6.0,45
1,55,1,8,1,29.0,1.1,55
4,41,1,8,2,22.0,4.8,41
6,63,0,4,3,51.0,7.800000000000001,63
6,56,1,5,4,45.0,8.399999999999999,56
5,84,1,4,3,70.0,6.5,84
1,40,0,5,9,10.0,1.9,40
8,45,1,6,2,38.0,9.6,45
5,44,0,6,0,30.0,5.0,44
5,96,1,4,6,82.0,8.0,96
7,84,0,6,9,74.0,13.299999999999999,84
4,99,1,8,5,87.0,6.0,99
6,94,1,5,1,77.0,6.6000000000000005,94
4,89,1,7,1,72.0,4.4,89
3,68,0,7,2,51.0,3.5999999999999996,68
7,51,1,6,7,40.0,11.9,51
8,78,1,5,7,72.0,13.6,78
4,86,0,8,9,68.0,7.6,86
2,42,0,7,9,22.0,3.8,42
3,87,0,8,9,67.0,5.699999999999999,87
1,40,1,8,9,18.0,1.9,40
8,66,1,7,7,64.0,13.6,66
3,87,1,7,6,66.0,4.800000000000001,87
7,63,0,6,1,50.0,7.700000000000001,63
5,83,0,5,0,68.0,5.0,83
5,58,1,4,5,44.0,7.5,58
7,98,1,5,7,90.0,11.9,98
9,47,0,4,0,41.0,9.0,47
5,94,0,7,2,83.0,6.0,94
1,83,0,8,0,57.0,1.0,83
1,86,1,5,9,64.0,1.9,86
2,41,0,8,8,18.0,3.6,41
6,69,0,5,6,62.0,9.600000000000001,69
9,69,0,9,7,66.0,15.299999999999999,69
8,88,0,5,8,85.0,14.4,88
5,78,1,8,2,62.0,6.0,78
1,84,0,9,9,62.0,1.9,84
7,71,1,6,1,62.0,7.700000000000001,71
5,40,1,7,5,26.0,7.5,40
6,77,0,6,4,66.0,8.399999999999999,77
7,52,0,6,3,43.0,9.1,52
3,50,1,5,5,30.0,4.5,50
3,49,0,7,5,25.0,4.5,49
5,87,1,9,2,77.0,6.0,87
6,98,0,5,1,88.0,6.6000000000000005,98
9,65,1,4,8,62.0,16.2,65
5,95,1,5,7,82.0,8.5,95
1,94,1,9,3,73.0,1.3,94
4,59,0,8,5,44.0,6.0,59
5,56,1,5,2,40.0,6.0,56
5,56,1,4,7,39.0,8.5,56
7,43,0,5,2,34.0,8.4,43
4,44,0,9,1,27.0,4.4,44
1,99,1,4,6,73.0,1.6,99
5,62,1,7,2,46.0,6.0,62
7,85,0,9,8,78.0,12.6,85
6,91,1,5,2,80.0,7.199999999999999,91
5,49,0,4,7,33.0,8.5,49
4,85,0,9,1,68.0,4.4,85
2,67,0,7,8,45.0,3.6,67
4,72,1,8,0,56.0,4.0,72
3,82,0,6,2,58.0,3.5999999999999996,82
1,65,1,4,1,37.0,1.1,65
8,94,1,8,6,88.0,12.8,94
5,89,0,7,4,75.0,7.0,89
4,87,0,8,7,70.0,6.8,87
8,68,0,5,1,62.0,8.8,68
7,66,0,6,7,57.0,11.9,66
2,57,1,4,6,32.0,3.2,57
1,79,1,9,4,53.0,1.4,79
4,99,0,7,1,82.0,4.4,99
8,49,1,6,9,41.0,15.2,49
2,97,0,7,6,75.0,3.2,97
3,81,1,8,9,63.0,5.699999999999999,81
1,44,1,7,3,17.0,1.3,44
1,49,1,7,3,24.0,1.3,49
3,89,0,8,7,69.0,5.1,89
5,60,1,8,5,47.0,7.5,60
3,63,1,6,8,43.0,5.4,63
1,77,1,4,1,48.0,1.1,77
1,42,1,8,4,17.0,1.4,42
8,79,0,6,5,75.0,12.0,79
2,70,1,7,7,54.0,3.4,70
3,80,0,7,3,59.0,3.9000000000000004,80
2,76,0,9,6,56.0,3.2,76
3,41,1,5,6,20.0,4.800000000000001,41
7,41,1,8,3,34.0,9.1,41
1,78,0,6,0,54.0,1.0,78
8,88,0,9,2,83.0,9.6,88
2,81,0,6,1,59.0,2.2,81
3,83,1,4,2,63.0,3.5999999999999996,83
9,73,1,9,4,72.0,12.6,73
7,81,0,6,0,70.0,7.0,81
4,59,0,8,4,41.0,5.6,59
5,72,0,6,1,54.0,5.5,72
2,43,1,5,3,21.0,2.6,43
8,84,1,7,5,83.0,12.0,84
4,83,0,7,8,64.0,7.2,83
9,50,1,9,9,51.0,17.099999999999998,50
5,81,0,6,5,66.0,7.5,81
9,86,1,6,9,83.0,17.099999999999998,86
4,44,0,6,1,26.0,4.4,44
5,64,1,6,7,49.0,8.5,64
9,88,1,5,4,85.0,12.6,88
8,99,1,8,8,95.0,14.4,99
3,76,1,5,9,56.0,5.699999999999999,76
1,73,1,5,8,50.0,1.8,73
3,48,1,5,3,23.0,3.9000000000000004,48
4,45,1,7,0,26.0,4.0,45
2,57,0,5,8,30.0,3.6,57
1,53,0,6,8,28.0,1.8,53
7,58,0,5,7,48.0,11.9,58
8,53,1,6,4,46.0,11.2,53
7,79,1,9,4,73.0,9.799999999999999,79
5,56,1,8,9,45.0,9.5,56
1,99,0,7,5,76.0,1.5,99
7,74,0,8,0,71.0,7.0,74
7,68,0,9,8,60.0,12.6,68
9,81,0,8,4,77.0,12.6,81
3,56,0,7,6,36.0,4.800000000000001,56
9,98,0,6,7,96.0,15.299999999999999,98
1,82,1,9,4,62.0,1.4,82
1,47,0,9,2,22.0,1.2,47
4,40,1,6,5,21.0,6.0,40
9,84,0,6,6,79.0,14.4,84
6,92,0,7,3,82.0,7.800000000000001,92
3,75,1,5,8,55.0,5.4,75
1,46,1,4,3,22.0,1.3,46
4,85,1,5,9,70.0,7.6,85
9,44,0,5,1,37.0,9.9,44
3,63,0,8,8,42.0,5.4,63
9,67,1,4,3,64.0,11.700000000000001,67
7,82,0,6,3,72.0,9.1,82
4,56,1,5,9,42.0,7.6,56
3,76,0,7,0,56.0,3.0,76
5,59,0,5,1,43.0,5.5,59
5,42,0,6,2,24.0,6.0,42
3,76,1,5,6,55.0,4.800000000000001,76
9,65,0,9,8,64.0,16.2,65
4,54,1,8,4,34.0,5.6,54
5,90,1,8,3,78.0,6.5,90
4,87,1,5,1,71.0,4.4,87
5,47,1,8,6,33.0,8.0,47
7,52,1,7,5,46.0,10.5,52
9,87,1,4,6,86.0,14.4,87
7,42,1,5,7,34.0,11.9,42
5,40,1,7,8,26.0,9.0,40
7,48,1,9,9,44.0,13.299999999999999,48
5,70,0,7,4,53.0,7.0,70
3,80,1,7,4,61.0,4.199999999999999,80
7,93,0,9,3,84.0,9.1,93
2,65,1,6,2,40.0,2.4,65
9,56,0,5,6,53.0,14.4,56
1,95,0,5,4,67.0,1.4,95
6,73,0,5,6,58.0,9.600000000000001,73
7,48,0,4,1,41.0,7.700000000000001,48
8,95,0,7,8,89.0,14.4,95
9,90,0,5,8,85.0,16.2,90
2,52,1,8,8,33.0,3.6,52
2,44,1,6,4,20.0,2.8,44
5,80,1,9,9,66.0,9.5,80
5,52,1,9,8,38.0,9.0,52
6,40,1,4,0,25.0,6.0,40
3,64,1,9,1,43.0,3.3000000000000003,64
8,86,0,6,9,79.0,15.2,86
1,43,1,7,4,16.0,1.4,43
6,75,0,9,4,67.0,8.399999999999999,75
4,91,0,9,5,80.0,6.0,91
1,49,0,8,7,26.0,1.7,49
7,67,0,7,0,57.0,7.0,67
9,96,0,5,9,91.0,17.099999999999998,96
4,45,0,6,8,29.0,7.2,45
4,66,1,9,3,48.0,5.2,66
6,95,0,8,7,84.0,10.2,95
3,51,0,6,4,33.0,4.199999999999999,51
6,91,1,4,0,82.0,6.0,91
7,87,1,8,8,81.0,12.6,87
3,42,1,4,7,24.0,5.1,42
7,85,1,9,4,81.0,9.799999999999999,85
3,72,1,8,3,54.0,3.9000000000000004,72
2,49,1,5,7,25.0,3.4,49
4,70,1,6,8,53.0,7.2,70
8,54,0,6,6,48.0,12.8,54
9,46,1,7,3,40.0,11.700000000000001,46
7,75,0,8,6,66.0,11.200000000000001,75
1,53,1,8,5,29.0,1.5,53
3,95,1,4,2,73.0,3.5999999999999996,95
9,87,0,8,9,89.0,17.099999999999998,87
1,53,1,6,2,27.0,1.2,53
9,42,1,8,0,40.0,9.0,42
8,88,1,7,4,83.0,11.2,88
1,92,1,7,7,69.0,1.7,92
6,85,1,6,5,72.0,9.0,85
5,89,1,6,7,77.0,8.5,89
6,42,1,6,6,32.0,9.600000000000001,42
5,61,0,8,1,49.0,5.5,61
6,58,1,8,7,44.0,10.2,58
5,74,0,5,3,57.0,6.5,74
5,51,0,9,4,34.0,7.0,51
4,93,0,9,7,76.0,6.8,93
3,44,0,4,4,22.0,4.199999999999999,44
3,49,0,8,4,30.0,4.199999999999999,49
4,80,0,5,5,67.0,6.0,80
9,72,0,5,6,71.0,14.4,72
2,52,1,7,8,29.0,3.6,52
9,74,1,8,6,74.0,14.4,74
1,90,1,5,5,67.0,1.5,90
1,71,0,7,9,46.0,1.9,71
5,50,1,4,3,34.0,6.5,50
6,87,0,7,9,76.0,11.399999999999999,87
6,77,0,4,1,64.0,6.6000000000000005,77
3,63,1,9,8,46.0,5.4,63
7,74,0,9,9,68.0,13.299999999999999,74
9,58,0,6,4,58.0,12.6,58
8,45,1,6,4,41.0,11.2,45
6,79,0,7,2,64.0,7.199999999999999,79
8,93,1,6,2,84.0,9.6,93
5,84,0,8,0,70.0,5.0,84
8,83,0,7,4,77.0,11.2,83
4,81,1,5,2,60.0,4.8,81
8,74,1,8,1,65.0,8.8,74
2,43,1,7,8,21.0,3.6,43
5,72,0,9,9,60.0,9.5,72
9,52,0,4,5,48.0,13.5,52
4,95,1,6,2,77.0,4.8,95
6,75,1,6,6,63.0,9.600000000000001,75
1,93,1,6,8,68.0,1.8,93
9,82,0,7,8,81.0,16.2,82
1,58,0,8,0,29.0,1.0,58
5,82,1,4,1,66.0,5.5,82
4,51,1,6,7,36.0,6.8,51
3,50,1,8,0,29.0,3.0,50
6,45,0,5,2,32.0,7.199999999999999,45
2,51,1,9,6,31.0,3.2,51
3,66,1,5,7,45.0,5.1,66
5,80,1,4,4,65.0,7.0,80
9,64,0,6,1,57.0,9.9,64
2,81,0,5,2,58.0,2.4,81
8,42,1,9,8,38.0,14.4,42
2,42,0,8,9,22.0,3.8,42
5,59,1,8,6,48.0,8.0,59
7,67,1,5,0,59.0,7.0,67
8,62,1,6,2,58.0,9.6,62
1,87,1,9,8,62.0,1.8,87
6,42,0,4,6,30.0,9.600000000000001,42
1,81,1,6,1,56.0,1.1,81
2,63,1,7,5,40.0,3.0,63
1,82,0,5,8,59.0,1.8,82
5,79,1,7,3,65.0,6.5,79
9,45,0,5,9,43.0,17.099999999999998,45
6,59,1,4,1,48.0,6.6000000000000005,59
1,50,1,6,2,24.0,1.2,50
1,71,1,9,6,51.0,1.6,71
2,99,1,6,3,81.0,2.6,99
9,66,0,5,6,62.0,14.4,66
3,60,1,8,4,43.0,4.199999999999999,60
1,83,0,7,7,63.0,1.7,83
5,87,0,9,7,73.0,8.5,87
7,89,0,9,4,76.0,9.799999999999999,89
6,52,1,6,6,43.0,9.600000000000001,52
1,61,0,6,5,34.0,1.5,61
5,74,0,5,7,57.0,8.5,74
5,86,0,8,8,72.0,9.0,86
6,61,1,7,4,47.0,8.399999999999999,61
3,67,1,8,6,52.0,4.800000000000001,67
5,60,0,9,0,49.0,5.0,60
7,85,0,8,7,77.0,11.9,85
5,57,1,5,2,41.0,6.0,57
5,70,0,8,0,56.0,5.0,70
5,99,0,7,5,89.0,7.5,99
3,85,0,9,7,65.0,5.1,85
1,76,1,4,2,49.0,1.2,76
5,60,0,9,0,48.0,5.0,60
9,53,0,4,2,47.0,10.799999999999999,53
1,64,1,7,4,37.0,1.4,64
3,66,0,9,7,48.0,5.1,66
4,79,1,9,8,61.0,7.2,79
1,99,1,9,8,77.0,1.8,99
1,99,1,9,3,75.0,1.3,99
8,62,0,5,7,57.0,13.6,62
2,70,0,6,4,45.0,2.8,70
8,86,0,9,2,82.0,9.6,86
7,99,0,5,4,90.0,9.799999999999999,99
2,68,0,7,1,42.0,2.2,68
6,86,0,9,5,74.0,9.0,86
6,69,0,8,0,60.0,6.0,69
3,90,0,9,5,73.0,4.5,90
2,65,1,9,4,40.0,2.8,65
1,59,0,4,8,32.0,1.8,59
6,77,0,8,6,67.0,9.600000000000001,77
5,58,1,9,5,46.0,7.5,58
9,66,0,9,6,65.0,14.4,66
1,64,1,9,9,42.0,1.9,64
7,79,0,5,4,69.0,9.799999999999999,79
5,77,0,7,0,62.0,5.0,77
5,91,1,4,8,75.0,9.0,91
2,62,1,9,4,40.0,2.8,62
3,68,0,7,3,43.0,3.9000000000000004,68
7,54,1,4,5,42.0,10.5,54
6,98,0,4,4,84.0,8.399999999999999,98
2,42,0,4,0,15.0,2.0,42
6,49,0,9,1,39.0,6.6000000000000005,49
2,54,0,5,3,26.0,2.6,54
2,95,0,9,7,73.0,3.4,95
2,55,0,9,4,34.0,2.8,55
3,56,1,7,6,34.0,4.800000000000001,56
2,58,1,6,1,37.0,2.2,58
4,50,1,6,7,34.0,6.8,50
9,87,0,6,4,85.0,12.6,87
6,44,1,7,3,31.0,7.800000000000001,44
1,44,0,8,8,18.0,1.8,44
8,97,1,7,5,92.0,12.0,97
7,53,0,4,3,44.0,9.1,53
3,89,0,9,7,72.0,5.1,89
1,65,0,8,2,40.0,1.2,65
5,47,0,4,9,31.0,9.5,47
4,44,0,9,1,25.0,4.4,44
8,46,1,9,6,44.0,12.8,46
1,55,0,4,3,27.0,1.3,55
1,94,1,7,3,66.0,1.3,94
4,53,0,6,9,34.0,7.6,53
8,76,0,8,8,70.0,14.4,76
5,95,0,9,1,81.0,5.5,95
2,80,1,5,0,56.0,2.0,80
6,43,0,9,6,30.0,9.600000000000001,43
5,75,1,6,7,60.0,8.5,75
2,87,0,9,2,64.0,2.4,87
3,95,1,5,1,74.0,3.3000000000000003,95
9,56,1,7,3,52.0,11.700000000000001,56
7,86,1,9,1,84.0,7.700000000000001,86
7,75,0,8,1,66.0,7.700000000000001,75
6,45,0,7,4,32.0,8.399999999999999,45
8,55,1,5,9,47.0,15.2,55
4,68,0,4,4,51.0,5.6,68
8,75,0,9,7,67.0,13.6,75
4,77,0,7,8,57.0,7.2,77
